,Fvar,frequency,frequency_strength,slope,R,std,mean,median,name
158,,,,,,,,,661427400323-light-curves
159,,,,,,,,,386548195092-light-curves
160,,,,,,,,,661431919194-light-curves
161,,,,,,,,,360778269255-light-curves
162,,,,,,,,,575526200586-light-curves
163,,,,,,,,,661434926380-light-curves
164,,,,,,,,,635655364086-light-curves
165,,,,,,,,,661434646937-light-curves
166,,,,,,,,,257699321043-light-curves
167,,,,,,,,,661426418536-light-curves
168,,,,,,,,,661428844968-light-curves
169,,,,,,,,,661432035735-light-curves
170,,,,,,,,,661430353966-light-curves
171,,,,,,,,,377957369766-light-curves
172,,,,,,,,,661432311582-light-curves
173,,,,,,,,,661425592465-light-curves
174,,,,,,,,,661425759011-light-curves
175,,,,,,,,,386547181332-light-curves
176,,,,,,,,,661427126233-light-curves
177,,,,,,,,,661432034403-light-curves
178,,,,,,,,,661434975898-light-curves
179,,,,,,,,,34359763437-light-curves
180,,,,,,,,,661434614467-light-curves
181,,,,,,,,,197568501706-light-curves
182,,,,,,,,,661426534754-light-curves
183,,,,,,,,,661431855978-light-curves
184,,,,,,,,,369368276782-light-curves
185,,,,,,,,,661434658553-light-curves
186,,,,,,,,,309238547445-light-curves
187,,,,,,,,,188979291521-light-curves
188,,,,,,,,,661430778005-light-curves(1)
189,,,,,,,,,661431197998-light-curves
190,,,,,,,,,661425856286-light-curves
191,,,,,,,,,309238380712-light-curves
192,,,,,,,,,661425771481-light-curves
193,,,,,,,,,661426797357-light-curves
194,,,,,,,,,343598303722-light-curves
195,,,,,,,,,661434642934-light-curves
196,,,,,,,,,120259723567-light-curves
197,,,,,,,,,661434962579-light-curves
198,,,,,,,,,343598039494-light-curves
199,,,,,,,,,386547359168-light-curves
200,,,,,,,,,661425837566-light-curves
201,,,,,,,,,292058632659-light-curves
202,,,,,,,,,249108547673-light-curves
203,,,,,,,,,661431492417-light-curves
204,,,,,,,,,128849543818-light-curves
205,,,,,,,,,352187981376-light-curves
206,,,,,,,,,661426353894-light-curves
207,,,,,,,,,661430456100-light-curves
208,,,,,,,,,661434643326-light-curves
209,,,,,,,,,661430607288-light-curves(4)
210,,,,,,,,,274877908039-light-curves
211,,,,,,,,,661425915831-light-curves
212,,,,,,,,,292058113200-light-curves
213,,,,,,,,,661425672319-light-curves
214,,,,,,,,,257698834699-light-curves
215,,,,,,,,,661431808680-light-curves
216,,,,,,,,,661425999669-light-curves
217,,,,,,,,,188979365413-light-curves
218,,,,,,,,,661431844884-light-curves
219,,,,,,,,,661431602458-light-curves
220,,,,,,,,,188979585930-light-curves
221,,,,,,,,,146029385337-light-curves
222,,,,,,,,,661434642245-light-curves
223,,,,,,,,,137438970343-light-curves
224,,,,,,,,,68720641496-light-curves
225,,,,,,,,,292058528248-light-curves
226,,,,,,,,,77310608380-light-curves(1)
227,,,,,,,,,661430430321-light-curves
228,,,,,,,,,661431116640-light-curves
229,,,,,,,,,661425826913-light-curves
230,,,,,,,,,661434713894-light-curves
231,,,,,,,,,146029284774-light-curves
232,,,,,,,,,661431629956-light-curves
233,,,,,,,,,661425637315-light-curves
234,,,,,,,,,257699174990-light-curves
235,,,,,,,,,661434878828-light-curves
236,,,,,,,,,489627167740-light-curves
237,,,,,,,,,661430642671-light-curves
238,,,,,,,,,335008297244-light-curves
239,,,,,,,,,661431364341-light-curves
240,,,,,,,,,661432313370-light-curves
241,,,,,,,,,231928491185-light-curves
242,,,,,,,,,661427419284-light-curves
243,,,,,,,,,566936637671-light-curves
244,,,,,,,,,661434881228-light-curves
245,,,,,,,,,661432315454-light-curves
246,,,,,,,,,661434640779-light-curves
247,,,,,,,,,661432477847-light-curves(2)
248,,,,,,,,,197569386950-light-curves
249,,,,,,,,,249108129410-light-curves
250,,,,,,,,,566936016868-light-curves
251,,,,,,,,,429497038440-light-curves
252,,,,,,,,,661430418886-light-curves
