,name,ID,ra,dec
472,MS 04595+0327,283467877327,05 02 09.0,+03 31 51
473,UGC  4145,661426515285,07 59 40.2,+15 23 15
474,NGC 7679,283467865560,23 28 46.6,+03 30 42
475,IRAS 04502-0317,661425968103,04 52 44.0,-03 13 01
476,ESO 269-G12,429497434803,12 56 40.7,-46 55 31
477,IRAS 09026-3817,661425672319,09 04 33.3,-38 29 23
478,IC 4329A,240518562154,13 49 19.3,-30 18 34
479,Q 1209-1105,661425843766,12 12 10.5,-11 22 41
480,IC 4995,498217062179,20 19 59.0,-52 37 19
481,IC 4518A,661425651316,14 57 41.2,-43 07 56
482,SDSS J12489+4035,223338783577,12 48 58.8,+40 35 45
483,ESO 362-G08,661432031479,05 11 09.0,-34 23 36
484,ESO 323-G32,472446490687,12 53 17.2,-41 37 48
485,1WGA J1611.8-6037,661431814122,16 11 51.5,-60 37 55
486,UGC  3752,146030283693,07 14 03.9,+35 16 46
487,NGC 5357,661431261272,13 55 59.5,-30 20 29
488,SDSS J07413+3413,85900138207,07 41 18.1,+34 13 55
489,IC 5135,515397207916,21 48 19.5,-34 57 05
490,ESO 202-G23,661430827208,04 28 00.0,-47 54 48
491,Q 2258+0216A,661434926518,23 01 26.4,+02 32 42
492,MCG -06.23.004,-1,10 10 08.7,-38 08 00
493,IGR J14552-5133,661425619053,14 55 17.8,-51 34 17
494,NGC 1167,661430774205,03 01 42.4,+35 12 21
495,NGC  315,661430611270,00 57 49.1,+30 21 11
496,NGC 4903,34360274628,13 01 22.8,-30 56 06
497,NGC 5548,661431962788,14 17 59.6,+25 08 13
498,ESO 139-G12,575526200586,17 37 39.5,-59 56 29
499,IRAS 01475-0740,292058876141,01 50 02.7,-07 25 49
500,IC  164,369367240294,01 49 08.4,-03 54 15
501,ESO 299-G20,661425670935,02 49 33.8,-38 46 12
502,IRAS 11353-4854,661425627183,11 37 44.4,-49 10 38
503,IC 4709,661425601396,18 24 19.4,-56 22 09
504,ESO  18-G09,323290,08 23 59.8,-77 47 14
505,3C 449.0,661430566854,22 31 20.7,+39 21 30
506,IC 4687,661425597240,18 13 37.6,-57 45 10
507,MCG -07.05.010,-1,02 10 54.6,-39 21 56
508,IC 1816,609886056552,02 31 51.0,-36 40 15
509,SDSS J13354+0124,661432039745,13 35 24.6,+01 24 37
510,NGC 7591,214748861602,23 18 16.3,+06 35 09
511,ESO 195-G35,429497522354,01 15 54.9,-50 11 23
512,MARK  993,85900085599,01 25 31.4,+32 08 11
513,2E 0507+1626,257698174631,05 10 45.5,+16 29 57
514,SDSS J11025-0017,-1,11 02 33.3,-00 17 27
515,MARK 1044,395137232801,02 30 05.5,-08 59 53
516,NGC 7469,661431935631,23 03 15.6,+08 52 26
517,IC 1833,601296011683,02 41 38.7,-28 10 17
518,NGC 7682,661426194293,23 29 03.9,+03 32 00
519,MARK  577,274879105501,01 49 29.8,+12 30 32
520,SDSS J09596+0002,661434910939,09 59 40.2,+00 02 39
521,NGC  777,661426937403,02 00 14.9,+31 25 46
522,MCG -01.26.024,-1,10 07 05.3,-05 52 59
523,UGC 12282,661432030252,22 58 55.4,+40 55 58
524,MCG -02.08.014,-1,02 52 23.4,-08 30 37
525,MARK  341,661426742962,00 36 52.2,+23 59 06
526,Zw 468.002,214749032732,05 08 19.7,+17 21 47
527,Q 0050+0220,661432305337,00 53 07.3,+02 37 15
528,MCG -03.34.064,214748745868,13 22 24.5,-16 43 42
529,IGR J20216+4359,661427205252,20 21 49.0,+44 00 39
530,SDSS J08327+5226,661427341865,08 32 42.8,+52 26 32
531,1ES 1927+654,85899757957,19 27 17.6,+65 34 14
532,SDSS J08056+2610,120260528709,08 05 38.7,+26 10 05
533,ESO 353-G09,661425697879,01 31 50.4,-33 08 09
534,MCG -01.05.047,206159396538,01 52 49.0,-03 26 48
535,MARK  359,206159498216,01 27 32.5,+19 10 44
536,UGC  1395,171799477903,01 55 22.1,+06 36 42
537,NPM1G+13.0367,206159821885,14 10 41.4,+13 33 29
538,SDSS J01356+0000,661426074846,01 35 36.6,+00 00 54
539,Q 0148+0126,661432305179,01 51 24.2,+01 41 47
540,MARK  573,661430715830,01 43 57.8,+02 20 59
541,NGC 1275,68720641496,03 19 48.2,+41 30 42
542,IRAS 13218-1929,566936637671,13 24 35.2,-19 45 11
543,IRAS 00160-0719,429497105455,00 18 36.7,-07 02 49
544,ESO 576-G77,661431237580,13 30 43.1,-20 57 06
545,MCG -02.31.015,-1,12 05 57.2,-12 39 50
546,TOL 1220+051,188979440585,12 23 16.6,+04 50 10
547,UGC  1479,661426756172,02 00 19.2,+24 28 26
548,ESO 576-G69,558346527525,13 30 05.3,-20 55 59
549,UGC   615,257699321043,00 59 40.1,+15 19 51
550,Zw 142.019,661432039038,18 12 14.1,+21 53 05
551,SDSS J11237-0105,-1,11 23 46.1,-01 05 59
552,SDSS J16431+4550,85900045085,16 43 09.5,+45 50 44
553,NGC  773,292059017189,01 58 52.0,-11 30 52
554,NGC 5968,549756880980,15 39 57.2,-30 33 10
555,IC  184,661430726758,01 59 51.3,-06 50 24
556,F  334,-1,18 48 11.3,-53 08 51
557,NGC  599,661425837566,01 32 53.8,-12 11 28
558,PKS 0056-572,635656070242,00 58 46.7,-56 59 10
559,SDSS J00197+0035,335008297244,00 19 47.3,+00 35 27
560,SDSS J10460+0001,-1,10 46 00.3,+00 01 13
561,MCG -01.05.031,-1,01 45 25.4,-03 49 38
562,ESO 116-G18,661429062186,03 24 53.0,-60 44 17
563,SDSS J01469+1307,343598513470,01 46 59.1,+13 07 29
564,ESO 045-011,231928780452,18 40 38.5,-77 09 28
565,AM 0426-625S,137440023749,04 27 12.5,-62 47 09
566,IGR J14515-5542,661430345306,14 51 33.2,-55 40 39
567,MARK 1058,146030129160,02 49 51.9,+34 59 17
568,SDSS J01128-0017,-1,01 12 48.6,-00 17 24
569,UGC 11805SW,661434926511,21 44 17.8,+42 15 49
570,MCG -05.12.006,-1,04 52 05.0,-32 59 25
571,IC 4553,661430456100,15 34 57.3,+23 30 12
572,SDSS J00217+0033,661432075411,00 21 45.8,+00 33 27
573,UGC  4332,661430544859,08 19 38.1,+21 06 51
574,UGC  3223,266288185772,04 59 09.4,+04 58 30
575,NGC 3831,292058539214,11 43 18.6,-12 52 41
576,SDSS J03349-0548,-1,03 34 58.0,-05 48 53
577,Q 0430+0223,661434926390,04 33 10.1,+02 30 01
578,SDSS J13088-0049,-1,13 08 50.1,-00 49 02
579,NGC 4404,661432032922,12 26 16.1,-07 40 50
580,IC 1417,352187787561,22 00 21.6,-13 08 50
581,MCG -01.30.041,-1,11 52 37.9,-05 12 26
582,UGC  3601,661427126233,06 55 49.5,+40 00 01
583,MARK  930,661431620146,23 31 58.3,+28 56 50
584,ESO 462-G09,661425708520,20 21 51.6,-31 17 22
585,MCG -05.04.042,-1,01 31 14.0,-26 51 34
586,GSC 6936 00748,644245125805,21 07 59.9,-29 50 10
587,SDSS J11276+0830,661434951897,11 27 37.2,+08 30 03
588,NGC 6936,661431512800,20 35 56.3,-25 16 48
589,NGC  291,661425874591,00 53 29.8,-08 46 04
590,Q 1614+4630,661434926482,16 15 54.7,+46 22 55
591,MARK    6,34360082638,06 52 12.4,+74 25 38
592,IC 1524,377957369766,23 59 10.8,-04 07 38
593,MCG +09.13.070,661434875660,07 50 32.3,+56 29 02
594,Q 1110+4747,661434926439,11 13 18.5,+47 31 39
595,SDSS J01109+0026,335008609592,01 10 59.3,+00 26 01
596,MCG -01.23.019,-1,09 06 34.0,-07 14 27
597,UM  63,661432297007,00 42 49.9,+02 36 50
598,SDSS J01054-0028,-1,01 05 24.3,-00 28 21
599,NGC 3858,661425866918,11 45 11.6,-09 18 51
600,MARK 1239,661431035657,09 52 19.1,-01 36 44
601,MARK 1310,257698784386,12 01 14.5,-03 40 40
602,NGC 2329,111669462150,07 09 08.0,+49 36 55
603,SDSS J13089-0048,-1,13 08 55.3,-00 48 06
604,Q 1620+4743,661434926485,16 21 48.9,+47 36 50
605,Q 1516+4635,661432308174,15 17 55.8,+46 25 04
606,NGC 6926,661425998310,20 33 06.1,-02 01 40
607,MCG +06.34.024,171799895392,15 38 38.5,+36 57 30
608,NGC 3676,300648914069,11 25 37.5,-11 08 22
609,NGC  513,661426994089,01 24 26.8,+33 47 58
610,Q 1059+4752,661434926436,11 02 51.2,+47 36 23
611,UGC  1416,661427062411,01 56 46.1,+36 53 11
612,IC 4218,429497205454,13 17 03.4,-02 15 41
613,F   49,-1,18 36 58.3,-59 24 09
614,Q 0411-789,661434926387,04 08 33.1,-78 47 16
615,ESO 033-G02,274879231757,04 55 58.8,-75 32 28
616,ESO 185-IG13,661431492332,19 45 00.6,-54 15 02
617,RX J08087+0018,-1,08 08 47.1,+00 18 01
618,ESO 215-G?14,661432313746,10 59 18.5,-51 26 30
619,NVSS J06472-3801,-1,06 47 14.2,-38 01 49
620,PGC 64989,661425713138,20 34 31.4,-30 37 29
621,NGC  824,609886273545,02 06 53.1,-36 27 08
622,ESO 338-G17,661425670341,19 38 13.1,-38 54 25
623,NGC  526A,489626899941,01 23 54.4,-35 03 56
624,SDSS J10448+0317,661432305386,10 44 48.5,+03 17 54
625,IRAS 19370-0131,661432071934,19 39 38.9,-01 24 33
626,ESO 287-G042,661431546071,21 38 07.9,-42 36 18
627,MARK  938,661430447825,00 11 06.6,-12 06 27
628,NGC 6915,223338606826,20 27 46.0,-03 04 37
629,NGC 3974,292059086029,11 55 40.1,-12 01 39
630,ESO 339-G11,463857655331,19 57 37.6,-37 56 08
631,UGC  3255,661432035039,05 09 50.2,+07 28 59
632,SDSS J16025+3457,661427021249,16 02 34.4,+34 57 58
633,4C 50.55,661427321258,21 24 39.4,+50 58 25
634,XMM J00350-4316,-1,00 35 04.4,-43 16 10
635,ESO 350-IG38,661430430321,00 36 52.9,-33 33 29
636,SDSS J13063-0140,-1,13 06 23.9,-01 40 33
637,PKS 0131-522,575525941361,01 33 05.8,-52 00 03
638,IGR J17488-3253,661425698836,17 48 55.2,-32 54 52
639,NGC  166,661425826913,00 35 48.8,-13 36 37
640,SDSS J02136-0043,-1,02 13 38.3,-00 43 01
641,MCG -04.49.001,-1,20 46 37.2,-23 37 49
642,ESO 386-G23,661432035735,14 47 14.4,-37 19 12
643,NGC 3822,360778244365,11 42 11.3,+10 16 40
644,RXS J22197+2120,180389128055,22 19 45.3,+21 20 48
645,MCG -05.51.008,-1,20 17 06.3,-12 05 51
646,NGC 1217,438087133107,03 06 05.9,-39 02 10
647,MCG -03.05.007,-1,01 34 26.3,-15 48 55
648,NGC 3303A,661431075355,10 37 00.1,+18 08 08
649,MARK  373,661427311590,06 54 35.1,+50 21 10
650,ESO 153-G20,661425605689,02 06 04.1,-55 11 37
651,UGC  8621,103079634434,13 37 39.8,+39 09 17
652,MCG +06.21.068,17181119112,09 39 17.2,+36 33 44
653,NGC 6211,661427410390,16 41 27.8,+57 47 01
654,IC 1859,266289016559,02 49 03.9,-31 10 21
655,IC 1858,274878426431,02 49 08.5,-31 17 22
656,MCG -02.02.035,-1,00 30 53.8,-09 12 06
657,IRAS 06206-0605,661425915831,06 23 05.3,-06 07 13
658,UGC 11950,661432316377,22 12 31.5,+38 40 55
659,MARK   40,120259142503,11 25 36.1,+54 22 56
660,Q 0309+0223,661434912685,03 11 40.3,+02 34 23
661,IC 1481,206159885762,23 19 25.3,+05 54 21
662,Q 1515+0205,661426147910,15 17 55.8,+01 54 55
663,MCG +08.11.011,128850141936,05 54 53.6,+46 26 21
664,ESO 460-G09,661432042075,19 30 26.6,-31 52 38
665,MARK  612,360777468754,03 30 40.9,-03 08 16
666,WEE  67,661426797357,12 37 00.2,+25 59 39
667,AKN   79,137440343662,02 17 22.9,+38 24 50
668,Q 1533+3756,661434926476,15 35 48.4,+37 47 00
669,AKN  479,481036934387,15 35 52.5,+14 31 04
670,NPM1G-04.0015,343598039494,00 19 36.0,-04 40 10
671,PKS 1521-30,274878100760,15 24 33.4,-30 12 21
672,IRAS 04312+4008,661427130915,04 34 40.9,+40 14 19
673,MCG -01.24.012,-1,09 20 46.2,-08 03 21
674,MARK  585,661430729427,02 03 30.3,+02 33 59
675,ESO 541-G001,661432311514,00 55 02.6,-19 00 17
676,SDSS J12029+0450,188979430066,12 02 57.8,+04 50 45
677,NGC  926,661430748737,02 26 06.8,-00 19 54
678,ESO 510-G46,532576344181,14 01 58.4,-25 32 25
679,NGC 7832,661430642671,00 06 28.5,-03 42 57
680,SDSS J08251+3759,103079834480,08 25 10.2,+37 59 19
681,UGC 12040,661431576043,22 27 05.9,+36 21 41
682,IGR J07565-4139,661425657901,07 56 19.7,-41 37 42
683,MCG -03.27.026,661436723939,10 42 17.6,-17 40 18
684,IC 1495,223339604130,23 30 47.7,-13 29 08
685,IC 3599,661430459774,12 37 41.2,+26 42 28
686,SDSS J11422+1403,206159768314,11 42 16.9,+14 04 00
687,SDSS J10071+0048,661432304992,10 07 11.9,+00 48 32
688,NPM1G-17.0312,257699209614,11 40 42.2,-17 40 10
689,3C  66.0B,661430382369,02 23 11.6,+42 59 33
690,MCG -03.35.014,-1,14 52 41.2,-24 48 27
691,MARK 1149,326417623210,00 56 12.4,-14 16 32
692,MARK 1388,249108547673,14 50 37.8,+22 44 04
693,SDSS J11161+4123,68720627927,11 16 07.7,+41 23 53
694,Q 1622+4745A,661434926486,16 23 33.0,+47 39 05
695,GRS 1734-292,661425723910,17 37 28.3,-29 08 02
696,MCG -01.30.005,-1,11 34 23.3,-09 40 06
697,CDFS J02268-0415,-1,02 26 49.9,-04 15 17
698,Q 1247+4754,661434926455,12 49 26.6,+47 37 57
699,NGC 3862,661431952633,11 45 05.0,+19 36 24
700,MCG -01.27.031,-1,10 39 46.3,-05 28 59
701,MCG -01.22.013,-1,08 28 47.1,-06 56 24
702,MCG -03.35.020,-1,13 53 08.2,-16 57 37
703,IRAS F12498+2721,661432072057,12 52 17.7,+27 05 08
704,MCG -04.05.044,-1,01 39 20.4,-20 27 10
705,SDSS J11455+0943,206159593365,11 45 30.3,+09 43 44
706,MCG +08.13.022,85900014621,06 52 37.1,+45 46 49
707,CG  430,661432307447,14 26 29.0,+43 28 14
708,MARK  565,188979238995,01 16 03.6,+04 17 39
709,D 16,214748642926,12 57 10.6,+27 24 18
710,NPM1G+41.0135,42950074585,06 55 10.0,+41 00 10
711,Q 0002+0118B,661434926359,00 05 15.1,+01 34 53
712,1AXG J132310-1656,343597792441,13 23 14.4,-16 55 27
713,NPM1G+23.0202,206159260275,09 42 04.8,+23 41 07
714,8C 0149+710,25769882705,01 53 25.8,+71 15 07
715,MCG -01.25.049,-1,09 50 56.5,-04 59 06
716,IRAS 01184-3246,592705531104,01 20 46.4,-32 31 27
717,ESO 426-G002,661429290112,06 23 46.5,-32 13 00
718,NGC  235,566936701999,00 42 52.8,-23 32 28
719,SDSS J13320+1702,171799035711,13 32 04.8,+17 02 56
720,MARK   79,214749499961,07 42 32.9,+49 48 35
721,Q 1058+4753,661432308845,11 01 45.3,+47 37 24
722,RXS J12102+3918,68720390718,12 10 16.6,+39 18 16
723,UM 395,223339044458,02 06 56.8,+01 41 52
724,UGC  3142,154619082740,04 43 46.9,+28 58 19
725,NGC 4156,661432314172,12 10 49.7,+39 28 22
726,ESO 507-G70,661434947661,13 02 52.4,-23 55 17
727,NGC 5260,420907600831,13 40 19.7,-23 51 28
728,AKN  347,188979604926,12 04 29.7,+20 18 58
729,POX  52,541166012277,12 02 56.8,-20 56 03
730,KUV 13000+2908,661432308251,13 02 25.5,+28 51 31
731,NPM1G+78.0048,661431192040,12 42 36.1,+78 07 20
732,Q 2225+0216,661434912669,22 28 18.0,+02 31 44
733,MARK  334,661431957955,00 03 09.6,+21 57 36
734,MCG -03.34.049,-1,13 20 06.4,-17 07 06
735,NGC 5252,661431245089,13 38 15.9,+04 32 33
736,SDSS J13358+0259,386547768235,13 35 48.2,+02 59 56
737,MCG +05.28.032,661429921318,11 48 45.9,+29 38 29
738,ESO 511-G030,575526611075,14 19 22.3,-26 38 41
739,NGC 5851,429497864183,15 06 53.5,+12 51 31
740,NGC 7319,661426998183,22 36 03.5,+33 58 33
741,SDSS J10486+6621,661432032577,10 48 38.0,+66 21 43
742,UGC  2024,661426093541,02 33 01.2,+00 25 14
743,SDSS J02338+0108,309237728519,02 33 51.6,+01 08 13
744,MCG -01.34.008,-1,13 10 17.3,-07 27 15
745,NPM1G-10.0474,326417702010,13 32 39.1,-10 28 53
746,SDSS J09382+0743,369367774389,09 38 12.2,+07 43 39
747,SDSS J03457-0715,-1,03 45 45.2,-07 15 27
748,NVSS J19511-3059,-1,19 51 11.9,-30 59 11
749,NGC 2965,103080287250,09 43 19.1,+36 14 52
750,ESO 320-G07,575525907634,11 35 45.2,-38 21 53
751,NGC   71,661426903108,00 18 23.5,+30 03 47
752,UGC 3901,103079286913,07 33 53.1,+49 17 31
753,ESO 583-G02,438086942128,15 40 19.9,-18 26 40
754,MCG -01.40.001,-1,15 33 18.9,-08 41 25
755,NGC 7214,377957862504,22 09 07.7,-27 48 34
756,SDSS J02260+0101,309237713053,02 26 01.3,+01 01 05
757,SDSS J17233+5938,661434975531,17 23 19.9,+59 38 34
758,GSC 4926 01061,223339093581,11 24 56.3,-03 48 40
759,F  239,-1,04 48 51.2,-57 39 37
760,CG  782,661432295952,10 48 16.3,+33 16 03
761,ESO 374-G25,541166392031,10 03 23.6,-37 33 39
762,ESO 244-G17,489626945673,01 20 19.7,-44 07 43
763,MARK 1073,661427167435,03 15 01.4,+42 02 09
764,Q 1208+3759,661432076263,12 10 43.6,+37 42 50
765,SDSS J10021+0303,214749734121,10 02 07.0,+03 03 27
766,RXS J21231-1036,-1,21 23 07.2,-10 36 49
767,SDSS J02457-0014,-1,02 45 47.6,-00 14 26
768,IC 1515,661431637940,23 56 03.9,-00 59 18
769,SDSS J13208+2155,661429841259,13 20 53.7,+21 55 10
770,NVSS J15123-3333,-1,15 12 22.4,-33 33 33
771,SDSS J01300+1336,-1,01 30 05.7,+13 36 17
772,NGC 3884,197569743716,11 46 12.2,+20 23 29
773,MARK  202,111670551136,12 17 54.9,+58 39 35
774,KISSR  112,120259928318,12 45 35.3,+28 45 43
775,SDSS J13359+0143,661426142616,13 35 58.6,+01 43 47
776,SDSS J13236+0430,661432319629,13 23 40.3,+04 30 55
777,Q 1310+3801,661432301314,13 12 50.3,+37 45 14
778,Zw 045.099,240519490334,13 47 09.2,+03 38 38
779,ESO 439-G09,661425723035,11 27 23.4,-29 15 27
780,NGC 4619,661432314461,12 41 44.7,+35 03 45
781,CTS J10.09,661425772596,12 33 51.5,-21 03 45
782,SDSS J23577+0039,274879049923,23 57 43.8,+00 39 18
783,MARK   50,197569150839,12 23 24.1,+02 40 45
784,SDSS J16555+6314,661431405720,16 55 33.3,+63 14 31
785,TOL 1332+044,188979821123,13 34 51.0,+04 14 12
786,SDSS J13390+0209,257698138575,13 39 04.6,+02 09 49
787,Q 0208+0218,661434926377,02 10 57.4,+02 32 10
788,MARK 1047,274879028540,02 32 47.5,+00 40 41
789,SDSS J12044+0138,661426140204,12 04 25.1,+01 38 50
790,MCG -03.38.010,-1,14 47 33.5,-20 28 02
791,MCG -01.22.006,-1,08 23 01.1,-04 56 05
792,MARK  860,163209218668,15 39 27.5,+24 56 53
793,MCG -01.60.021,-1,23 41 47.3,-03 40 02
794,NPM1G+29.0274,197568807032,13 24 42.6,+29 02 59
795,SDSS J02446-0907,-1,02 44 40.7,-09 07 35
796,SDSS J12408+0100,309237686610,12 40 53.6,+01 00 30
797,MCG +00.35.020,-1,13 46 20.1,-03 25 42
798,MCG -05.13.010,-1,05 10 13.9,-29 24 13
799,KISSB  113,77310901079,13 01 25.2,+29 18 48
800,NGC 5232,661425878464,13 36 08.5,-08 29 52
801,MARK  622,103079623912,08 07 41.0,+39 00 13
802,MCG -02.08.031,-1,02 56 09.8,-13 41 07
803,KUG 1208+386,128849654396,12 10 44.3,+38 20 10
804,MARK 1361,489626398021,13 47 04.4,+11 06 23
805,Q 0948+4750,661434926421,09 51 27.8,+47 36 53
806,SDSS J13009-0120,-1,13 00 54.5,-01 20 47
807,MCG -04.30.035,-1,12 52 35.9,-21 54 53
808,IC 1529,292058528248,00 05 13.2,-11 30 09
809,KUG 0312+013,300648002218,03 15 05.4,+01 30 31
810,SDSS J11392+2839,17180498715,11 39 17.2,+28 39 47
811,ESO 575-IG016,661425767172,12 52 36.4,-21 54 38
812,Zw 551.008,120259723567,01 10 14.1,+50 10 32
813,PG 1016+336,128849633917,10 19 49.5,+33 22 04
814,NPM1G+50.0375,77309898922,17 20 29.5,+50 22 37
815,NGC 1019,420907654997,02 38 27.4,+01 54 28
816,NGC 4922B,77310901079,13 01 24.5,+29 18 31
817,SDSS J13465+6423,51540884008,13 46 32.2,+64 23 25
818,SDSS J03191+0057,661432068992,03 19 07.7,+00 57 21
819,NGC   70,661430650482,00 18 22.6,+30 04 46
820,PGC 50427,231928831556,14 08 06.7,-30 23 53
821,MARK  403,206158963436,09 40 44.5,+21 14 04
822,MCG -04.16.001,-1,06 23 51.0,-23 11 37
823,AKN  524,17179988583,17 36 53.4,+68 10 18
824,ESO 438-G09,-1,11 10 48.0,-28 30 04
825,ESO 235-G59,661425627037,21 06 33.5,-49 13 08
826,NGC 7592W,661437545841,23 18 22.1,-04 24 59
827,US  195,661434926461,13 03 26.2,+31 27 22
828,ESO 386-G034,661425676254,14 56 08.4,-37 38 52
829,CG 1180,197569016601,13 43 00.7,+36 09 57
830,SDSS J12430-0116,-1,12 43 03.0,-01 16 57
831,UGC  4498,197568764642,08 37 26.6,+40 02 07
832,SDSS J13063+5318,94489299582,13 06 21.0,+53 18 23
833,ESO 328-IG36,-1,15 14 50.7,-40 20 23
834,Q 0101-1232,-1,01 03 31.1,-12 16 07
835,NGC 4966,146030063012,13 06 17.3,+29 03 47
836,NGC 7592E,661425945881,23 18 21.8,-04 24 56
837,MARK 1370,257698688083,14 08 04.1,+07 19 41
838,NVSS J09582-3809,-1,09 58 13.2,-38 09 26
839,WKK 1263,-1,12 41 25.5,-57 49 51
840,NGC 6251,661431387854,16 32 32.1,+82 32 17
841,IRAS 01089-4743,257698235287,01 11 09.7,-47 27 35
842,NGC 7596,506807016385,23 17 12.1,-06 54 42
843,MARK   42,8590552669,11 53 41.8,+46 12 43
844,LEDA 93974,661425637315,10 40 22.5,-46 25 26
845,MARK  308,188979585930,22 41 56.0,+20 15 42
846,GSC 6133 00078,360777697279,13 30 41.7,-21 39 47
847,CG   96,77310897231,11 17 52.7,+29 18 16
848,NGC 5514,661434891016,14 13 38.9,+07 39 33
849,MARK  198,60129589448,12 09 14.2,+47 03 31
850,ESO 506-G27,566936709468,12 38 54.6,-27 18 28
851,Zw 022.021,-1,15 38 44.7,-03 22 48
852,UGC  7064,17181249033,12 04 43.4,+31 10 38
853,MCG -05.32.059,-1,13 39 22.5,-32 13 27
854,Zw 399.005,661426360790,20 23 04.3,+09 32 37
855,KUG 1210+379,661434646937,12 13 25.6,+37 41 58
856,MCG +00.35.020,-1,13 46 22.2,-03 25 06
857,NGC 6240,377957904514,16 52 58.9,+02 24 01
858,MARK 1133,223338878198,23 44 01.2,+27 42 56
859,MCG +04.28.122,188979599773,12 01 45.0,+20 19 43
860,MCG +08.15.009,214749500174,07 51 51.8,+49 48 51
861,NGC 5849,661431323081,15 06 50.7,-14 34 18
862,MCG -02.58.021,-1,23 03 11.1,-08 59 19
863,KUG 1259+280,206158603818,13 02 00.1,+27 46 57
864,MCG +03.45.003,180388821724,17 35 33.8,+20 47 47
865,NGC  640,360777318129,01 39 24.8,-09 24 03
866,MCG +10.12.112,661427416757,08 16 01.2,+58 20 03
867,ESO 549-G050,326418214322,04 02 46.1,-21 07 08
868,Arp 102B,51540599924,17 19 14.5,+48 58 50
869,Zw 338.014,60129806606,15 42 55.5,+70 49 41
870,MARK 1325,661431175158,12 26 28.0,+09 01 15
871,NGC 5674,661431295346,14 33 52.3,+05 27 30
872,Zw 493.002,128849812790,21 38 33.5,+32 05 05
873,RXS J04344+7127,94490581829,04 34 28.6,+71 28 05
874,NGC 1410,661426018228,03 41 10.7,-01 17 55
875,KUG 0228+014B,661426140991,02 31 30.0,+01 40 28
876,MARK  917,128849835109,22 41 07.6,+32 10 11
877,KUG 0826+225,661434645844,08 29 44.3,+22 25 27
878,SDSS J08327+0636,-1,08 32 44.0,+06 36 34
879,AKN  564,661431968620,22 42 39.3,+29 43 32
880,UGC  5037,171798923269,09 27 18.3,+23 01 12
881,SDSS J08378+5517,661434975041,08 37 53.6,+55 17 00
882,UGC  9944,17180353153,15 35 47.9,+73 27 02
883,UGC  4155,249108434891,08 00 21.0,+26 36 49
884,NPM1G-18.0578,661429432876,22 29 12.5,-18 10 48
885,ESO 602-G25,661425786735,22 31 25.6,-19 02 05
886,SBS 0936+531,661434925573,09 40 16.4,+52 57 18
887,SDSS J11089-0033,-1,11 08 57.8,-00 33 37
888,AKN  557,661426325151,22 32 30.8,+08 12 27
889,Q 1128+4641,661434876324,11 31 00.9,+46 24 51
890,RXS J21359+4728,661427266510,21 35 54.0,+47 28 21
891,VPM J17177+4302,-1,17 17 45.4,+43 02 49
892,MARK  915,661425834831,22 36 46.5,-12 32 42
893,NGC 5995,292057988740,15 48 25.0,-13 45 27
894,NGC 6786,661427507150,19 10 54.0,+73 24 36
895,SDSS J02487-0006,-1,02 48 47.6,-00 06 33
896,SDSS J13018+4723,60130244210,13 01 53.1,+47 23 49
897,SDSS J12260-0327,-1,12 26 00.3,-03 27 54
898,Q 0945+4753,661434926420,09 48 20.3,+47 39 54
899,UGC 12138,197569319556,22 40 17.1,+08 03 14
900,MCG -06.15.006,-1,06 32 22.4,-33 30 55
901,ESO 306-G25,584116269737,05 45 51.1,-39 29 39
902,IRAS 14317-3237,661425699190,14 34 43.2,-32 50 25
903,NGC 4853,154619322675,12 58 35.2,+27 35 47
904,PC 0227+0034,661434926380,02 30 18.5,+00 47 52
905,UM 625,300648729799,14 00 40.6,-01 55 18
906,NPM1G+30.0129,120259666145,08 24 43.3,+29 59 23
907,MARK 1127,661431598247,23 02 03.4,+27 03 10
908,NPM1G-13.0475,326418019542,15 06 26.1,-14 07 01
909,SDSS J09246+5607,661427390591,09 24 38.9,+56 07 47
910,ESO 399-IG20,609885559173,20 06 58.1,-34 32 55
911,SDSS J09504+0134,231929178017,09 50 26.0,+01 34 57
912,SDSS J14102+0149,231929047125,14 10 12.3,+01 49 05
913,ESO 208-G34,661432034403,07 43 31.7,-51 40 57
914,NGC 4992,661426416454,13 09 05.6,+11 38 03
915,MARK  885,128849065063,16 29 48.3,+67 22 42
916,MCG +00.01.017,-1,00 00 35.7,-01 45 47
917,MCG -06.15.009,137439431563,06 33 41.5,-34 16 17
918,RXS J11032-0654,-1,11 03 15.8,-06 54 10
919,MARK  335,661431955285,00 06 19.5,+20 12 11
920,F  285,-1,10 47 40.7,-72 25 40
921,Q 2055+0126,661434926506,20 58 18.2,+01 38 00
922,MARK  663,128850085584,13 54 20.1,+32 55 50
923,ESO 113-G10,652835789694,01 05 17.0,-58 26 13
924,SDSS J09412+6103,8590176273,09 41 12.9,+61 03 40
925,SDSS J02248-0031,-1,02 24 48.0,-00 31 36
926,UGC 12646,661426796040,23 31 39.0,+25 56 47
927,IRAS 14167-7236,661425563456,14 21 21.0,-72 50 22
928,MARK  543,661431927046,00 02 26.4,+03 21 06
929,ESO 490-IG26,292058156304,06 40 11.8,-25 53 38
930,ESO 399-015,661434963330,20 00 46.6,-34 37 59
931,MCG -04.32.034,-1,13 32 43.1,-23 41 33
932,SDSS J08448+5503,103079751565,08 44 53.5,+55 03 14
933,SZ 80,661434890699,15 55 05.7,-38 03 23
